,title
0,Video: SpaceX successfully launched 60 Starlink satellites into orbit as part of Elon Musk's high-speed intern - Business Insider India
1,Facebook is Rolling Out New Setting to Customise Your Shortcuts Bar - News18
2,"AGR verdict: Vodafones future in India uncertain amid setback, says CEO - Business Standard"
3,Ayushmann Khurrana's 'Bala' beats Akshay Kumar's 'Kesari' and Kartik Aaryan's 'Luka Chuppi' to create thi - Times of India
4,"PM Modi Leaves for Brazil to Attend BRICS Summit, Says Focus Will be on Strengthening Counter-terror Coop... - News18"
5,"15 Years Of Veer-Zaara: 'Still Pinch Myself,' Writes Preity Zinta - NDTV News"
6,"Jharkhand elections: After AJSU, BJP ally LJP ditches saffron party to go solo in state; party to contest... - Firstpost"
7,Katy Perry Hints at Possible Collaboration with Indian Musicians Ahead of Her Concert - News18
8,UK's Labour Party Steps In To Counter Anti-India Stance Over Kashmir - NDTV News
9,"""Love You Brother, More Power To You"": Deepak Chahar's Sister Malti Wins Internet With Heartfelt Message - NDTV Sports"
10,Youth with abnormal heart rhythms more likely to have ADHD - The New Indian Express
11,"India vs Bangladesh: Bangladesh PM Sheikh Hasina, Bengal CM Mamata Banerjee likely to watch historic... - Hindustan Times"
12,Ghost footprints hiding since end of Ice Age found - The Weekend Leader
13,Roger Federer Defeats Matteo Berrettini In London | Nitto ATP Finals 2019 - ATP Tour
14,"""Great To Be Back With Boys"": Virat Kohli Shares Training Pictures Ahead Of Bangladesh Tests - NDTVSports.com"
15,Economists estimate Indias July-September GDP growth at 4.2-4.7% - Business Standard
16,Decision to recommend President's Rule in Maharashtra appears to be taken in haste: Ex-solicitor general | India News - Times of India
17,BJP blames Shiv Sena for imposition of President's rule in Maharashtra - Times of India
18,Airtel submit bids for RCom spectrum; Jio seeks deadline extension by 10 days - Livemint
19,Nile river could be 30 million years old! - Free Press Journal
20,Can you burn calories by having sex? We tell you the truth - Times of India
21,"""Ghost"" Footprints Hiding Since End Of Ice Age Found Using Special Radar - NDTV News"
22,CJI office under RTI Act: Supreme Court to pronounce verdict on November 13. - The Hindu
23,GTA publisher teases more sequels – what could they be? - TechRadar
24,President rule imposed in Maharashtra after NCP seeks and is refused 48 hours more - Times of India
25,"Eat according to season, stay healthy - Deccan Chronicle"
26,Vodafone's India ops headed for liquidation: Global CEO - Times of India
27,"Nonsmoking mom thought she had asthma, it was lung cancer - TODAY"
28,"Cholesterol levels dropping in US, but many still need care - Hindustan Times"
29,Novak Djokovic in no mood to talk Roger Federer after ATP Finals loss to Dominic Thiem - Express
30,Indian Army’s M777 regiment to get 3 made-in-India guns - Hindustan Times
31,"View: By saying no to RCEP, PM Modi has kept India first - Economic Times"
32,"Redmi Note 8 Pro to Go on Sale Today at 12pm via Amazon, Mi.com: Price in India, Offers, Specifications - NDTV"
33,Smoking associated with increased number of lung cancer deaths - ETHealthworld.com
34,"Delhi’s air strays deeper into ‘severe’ zone, likely to dip to ‘severe+’ by Thursday - Hindustan Times"
35,"Richa Chadha is now a stand-up comic, says ‘politicians are giving such competition to comics’ - Hindustan Times"
36,Report: Apple’s 16-inch MacBook Pro may arrive Wednesday - GSMArena.com news - GSMArena.com
37,"India vs Bangladesh: Unbeaten for 7 years, best win percentage - India’s sweet home turf - Hindustan Times"
38,President's Rule in Maharashtra LIVE Updates: Supreme Court to hear Shiv Sena's plea against governor's decision at 10.30 am - Firstpost
39,Economists say growth for FY20 may slip to around 5% - Economic Times
40,Teenage anxiety linked to harmful drinking - TheHealthSite
41,Vodafone CEO Nick Read says company's future in India looks doubtful as situation is critical - India Today
42,Two strains of one bacterium combine to cause deadly flesh-eating infection - The Asian Age
43,Giant Mural of Greta Thunberg Put up in San Francisco to Remind Residents of Climate Change - News18
44,"'Ultima Thule,' The Farthest Spacecraft-Visited Rock, Renamed 'Arrokoth' After Nazi Controversy - News18"
45,Deepika Padukone and Ranveer Singh's first wedding anniversary plans: A religious trip? - India Today
46,"The World's Waters Are Rising – but by How Much, and Where? - The Wire"
47,Apple's successor to the 'world's most-popular' headphones goes for sale in India : All you need to know - Gadgets Now
48,"Xiaomi Fish Tank launched in China for around Rs 3,050 - BGR India"
49,Pak to amend Army Act to let Kulbhushan Jadhav appeal in civilian court: Report - Hindustan Times
50,"Women Who Dine After 6 pm Risk Heart Disease, Says Study - News18"
51,NASA's Mars 2020 rover to search for signs of past microbial life on the red planet - India Today
52,Kohli on mental health: I didn’t know what to do during 2014 tour of England - The Hindu
53,India vs Bangladesh 1st Test: Virat Kohli Reveals His First Experience With Pink Cricket Ball - NDTV Sports
54,View: India imperils foreign investment with telecom cash grab - Economic Times
